# Steple pair pool
# Generated: 2026-06-06
# Word length: 4   Moves: 4–5   Sample: 500,000
# Pairs: 19752 (easy: 13521, medium: 6231, hard: 0)
# Format: START,TARGET  # score=N tier=X moves=N avg=N min=N conc=N
# ── Easy (score 1–6, moves 4) ───────────────────────────
BEER,FLEX  # score=7 tier=medium moves=5 avg=14 min=8 conc=0.55
BEER,SICK  # score=7 tier=medium moves=5 avg=15.8 min=14 conc=0.49
BEER,FLEE  # score=7 tier=medium moves=5 avg=14.3 min=10 conc=0.53
BEER,PACE  # score=7 tier=medium moves=5 avg=16.8 min=14 conc=0.46
BEER,TONY  # score=7 tier=medium moves=5 avg=21.5 min=12 conc=0.44
BELL,PIER  # score=7 tier=medium moves=5 avg=13.7 min=8 conc=0.56
BELL,SLIM  # score=7 tier=medium moves=5 avg=14.2 min=9 conc=0.48
BELL,SLAB  # score=7 tier=medium moves=5 avg=14.7 min=12 conc=0.49
BELL,RANG  # score=7 tier=medium moves=5 avg=16.2 min=11 conc=0.47
BELL,LANG  # score=7 tier=medium moves=5 avg=16 min=11 conc=0.48
BELL,FLEE  # score=7 tier=medium moves=5 avg=13.8 min=10 conc=0.57
BELL,FLEX  # score=7 tier=medium moves=5 avg=13.5 min=8 conc=0.59
BELT,SAKE  # score=7 tier=medium moves=5 avg=15.7 min=7 conc=0.44
BELT,DARE  # score=7 tier=medium moves=5 avg=16 min=12 conc=0.43
BELT,TAKE  # score=7 tier=medium moves=5 avg=18.5 min=12 conc=0.43
BELT,SAFE  # score=7 tier=medium moves=5 avg=13.5 min=7 conc=0.52
BELT,STUB  # score=7 tier=medium moves=5 avg=14.3 min=7 conc=0.43
BELT,SAME  # score=7 tier=medium moves=5 avg=15.5 min=7 conc=0.45
BELT,SAGE  # score=7 tier=medium moves=5 avg=15 min=7 conc=0.45
BEND,GRIN  # score=7 tier=medium moves=5 avg=11.7 min=8 conc=0.53
BEND,COMA  # score=7 tier=medium moves=5 avg=13.8 min=10 conc=0.45
BEND,PAIR  # score=7 tier=medium moves=5 avg=13.2 min=11 conc=0.52
BEND,MAIN  # score=7 tier=medium moves=5 avg=14.2 min=11 conc=0.53
BEND,SOIL  # score=7 tier=medium moves=5 avg=13.3 min=9 conc=0.6
BENT,MATH  # score=7 tier=medium moves=5 avg=15.5 min=8 conc=0.48
BENT,SOFA  # score=7 tier=medium moves=5 avg=12.3 min=7 conc=0.53
BENT,ROOM  # score=7 tier=medium moves=5 avg=16.5 min=10 conc=0.46
BENT,ROOF  # score=7 tier=medium moves=5 avg=16.7 min=11 conc=0.46
BETA,RANK  # score=7 tier=medium moves=5 avg=20.5 min=9 conc=0.47
BETH,RAND  # score=7 tier=medium moves=5 avg=17 min=7 conc=0.41
BETH,PART  # score=7 tier=medium moves=5 avg=13.3 min=7 conc=0.4
BETH,PINK  # score=7 tier=medium moves=5 avg=21.8 min=7 conc=0.49
BETH,MALL  # score=7 tier=medium moves=5 avg=17.3 min=7 conc=0.43
BETH,BIRD  # score=7 tier=medium moves=5 avg=16.8 min=7 conc=0.43
BETH,WARM  # score=7 tier=medium moves=5 avg=18.5 min=7 conc=0.47
BETS,POSE  # score=7 tier=medium moves=5 avg=20.2 min=15 conc=0.47
BETS,COIN  # score=7 tier=medium moves=5 avg=20.3 min=8 conc=0.45
BIKE,RANT  # score=7 tier=medium moves=5 avg=17.5 min=12 conc=0.43
BIKE,RAID  # score=7 tier=medium moves=5 avg=16.8 min=10 conc=0.46
BIKE,HEAD  # score=7 tier=medium moves=5 avg=13.8 min=12 conc=0.52
BIND,COOL  # score=7 tier=medium moves=5 avg=12.5 min=11 conc=0.42
BIND,CUPS  # score=7 tier=medium moves=5 avg=20.2 min=14 conc=0.41
BIND,WORN  # score=7 tier=medium moves=5 avg=13 min=11 conc=0.42
BIND,SLAM  # score=7 tier=medium moves=5 avg=13.5 min=11 conc=0.44
BIND,CAMP  # score=7 tier=medium moves=5 avg=16.5 min=11 conc=0.48
BINS,GRAM  # score=7 tier=medium moves=5 avg=14.2 min=11 conc=0.52
BIOS,LEAD  # score=7 tier=medium moves=5 avg=11.7 min=8 conc=0.5
BIOS,GRID  # score=7 tier=medium moves=5 avg=10.2 min=8 conc=0.52
BIRD,REGS  # score=7 tier=medium moves=5 avg=21.7 min=8 conc=0.45
BIRD,WOKE  # score=7 tier=medium moves=5 avg=16 min=8 conc=0.48
BIRD,COKE  # score=7 tier=medium moves=5 avg=18.8 min=8 conc=0.41
BIRD,SEPT  # score=7 tier=medium moves=5 avg=13.2 min=8 conc=0.55
BIRD,MESS  # score=7 tier=medium moves=5 avg=20.5 min=8 conc=0.39
BIRD,COIN  # score=7 tier=medium moves=5 avg=15.7 min=8 conc=0.38
BIRD,CONS  # score=7 tier=medium moves=5 avg=21 min=8 conc=0.4
BIRD,NETS  # score=7 tier=medium moves=5 avg=22.2 min=8 conc=0.47
BIRD,BOOT  # score=7 tier=medium moves=5 avg=15.3 min=8 conc=0.42
BIRD,LOAN  # score=7 tier=medium moves=5 avg=12.8 min=8 conc=0.42
BIRD,SEAT  # score=7 tier=medium moves=5 avg=15.7 min=8 conc=0.49
BIRD,LOWE  # score=7 tier=medium moves=5 avg=15.7 min=8 conc=0.48
BITE,LAID  # score=7 tier=medium moves=5 avg=19 min=12 conc=0.45
BITE,HAUL  # score=7 tier=medium moves=5 avg=19.8 min=8 conc=0.47
BITS,GRID  # score=7 tier=medium moves=5 avg=13.3 min=9 conc=0.53
BITS,CORD  # score=7 tier=medium moves=5 avg=24.3 min=14 conc=0.46
BLEW,FELL  # score=7 tier=medium moves=5 avg=13 min=10 conc=0.52
BLOW,FEAR  # score=7 tier=medium moves=5 avg=13.7 min=11 conc=0.56
BOAT,SAND  # score=7 tier=medium moves=5 avg=16.8 min=12 conc=0.46
BOAT,COMB  # score=7 tier=medium moves=5 avg=12.2 min=7 conc=0.38
BOAT,SHIN  # score=7 tier=medium moves=5 avg=11.7 min=8 conc=0.46
BOAT,LUSH  # score=7 tier=medium moves=5 avg=13.3 min=9 conc=0.48
BOAT,CARB  # score=7 tier=medium moves=5 avg=15.8 min=11 conc=0.47
BOIL,WORK  # score=7 tier=medium moves=5 avg=13.2 min=10 conc=0.51
BOIL,TURN  # score=7 tier=medium moves=5 avg=13.8 min=9 conc=0.44
BOIL,THIS  # score=7 tier=medium moves=5 avg=11 min=9 conc=0.45
BOIL,COMB  # score=7 tier=medium moves=5 avg=11.2 min=7 conc=0.48
BOIL,CHAD  # score=7 tier=medium moves=5 avg=11.2 min=7 conc=0.53
BOLD,DART  # score=7 tier=medium moves=5 avg=16.8 min=14 conc=0.48
BOLD,LIST  # score=7 tier=medium moves=5 avg=15.8 min=15 conc=0.46
BOLD,CHAD  # score=7 tier=medium moves=5 avg=13.8 min=10 conc=0.49
BOLD,DEAR  # score=7 tier=medium moves=5 avg=14.5 min=12 conc=0.48
BOLD,CHAP  # score=7 tier=medium moves=5 avg=14 min=11 conc=0.48
BOLD,CHIN  # score=7 tier=medium moves=5 avg=14.2 min=11 conc=0.44
BOLD,LAME  # score=7 tier=medium moves=5 avg=20 min=15 conc=0.46
BOLD,STAT  # score=7 tier=medium moves=5 avg=16.8 min=13 conc=0.42
BOLT,CHIP  # score=7 tier=medium moves=5 avg=13.2 min=8 conc=0.47
BOLT,LAME  # score=7 tier=medium moves=5 avg=20.7 min=17 conc=0.4
BOLT,PEEL  # score=7 tier=medium moves=5 avg=13 min=9 conc=0.5
BOLT,STAY  # score=7 tier=medium moves=5 avg=16 min=10 conc=0.42
BOLT,STAG  # score=7 tier=medium moves=5 avg=16 min=10 conc=0.42
BOND,SAUL  # score=7 tier=medium moves=5 avg=13.2 min=8 conc=0.46
BOND,NAIL  # score=7 tier=medium moves=5 avg=13.8 min=10 conc=0.53
BOND,TICK  # score=7 tier=medium moves=5 avg=15.2 min=12 conc=0.48
BOND,SCAM  # score=7 tier=medium moves=5 avg=12.7 min=11 conc=0.46
BOND,HERO  # score=7 tier=medium moves=5 avg=13.7 min=11 conc=0.46
BOND,GRID  # score=7 tier=medium moves=5 avg=12.3 min=9 conc=0.49
BOND,BAIT  # score=7 tier=medium moves=5 avg=13 min=7 conc=0.36
BOND,HERB  # score=7 tier=medium moves=5 avg=13.3 min=9 conc=0.49
BOND,DASH  # score=7 tier=medium moves=5 avg=17.5 min=12 conc=0.49
BONE,NUTS  # score=7 tier=medium moves=5 avg=18.2 min=12 conc=0.48
BONE,CHOP  # score=7 tier=medium moves=5 avg=16 min=8 conc=0.41
BONE,TEAR  # score=7 tier=medium moves=5 avg=21.5 min=18 conc=0.46
BOOK,LURE  # score=7 tier=medium moves=5 avg=19.8 min=13 conc=0.47
BOOK,WIRE  # score=7 tier=medium moves=5 avg=16.7 min=11 conc=0.49
BOOK,SOMA  # score=7 tier=medium moves=5 avg=12.7 min=8 conc=0.48
BOOK,PULL  # score=7 tier=medium moves=5 avg=15.2 min=11 conc=0.48
BOOM,WARS  # score=7 tier=medium moves=5 avg=13.5 min=8 conc=0.52
BOOM,HARM  # score=7 tier=medium moves=5 avg=11 min=8 conc=0.51
BOOM,SEPT  # score=7 tier=medium moves=5 avg=15.7 min=8 conc=0.43
BOOT,RAND  # score=7 tier=medium moves=5 avg=15.5 min=11 conc=0.4
BOOT,DENY  # score=7 tier=medium moves=5 avg=16.8 min=7 conc=0.48
BORE,LAMB  # score=7 tier=medium moves=5 avg=23 min=8 conc=0.44
BORE,READ  # score=7 tier=medium moves=5 avg=14.7 min=9 conc=0.45
BORE,RAMP  # score=7 tier=medium moves=5 avg=21.7 min=11 conc=0.49
BORE,LETS  # score=7 tier=medium moves=5 avg=23.5 min=19 conc=0.49
BORE,HUTS  # score=7 tier=medium moves=5 avg=20 min=12 conc=0.46
BORE,PETS  # score=7 tier=medium moves=5 avg=23.7 min=19 conc=0.48
BORN,FIND  # score=7 tier=medium moves=5 avg=13.8 min=11 conc=0.42
BORN,CHAP  # score=7 tier=medium moves=5 avg=12.7 min=11 conc=0.48
BORN,HATH  # score=7 tier=medium moves=5 avg=18.7 min=11 conc=0.49
BOTH,BIRD  # score=7 tier=medium moves=5 avg=17.3 min=8 conc=0.42
BOTH,FIND  # score=7 tier=medium moves=5 avg=20.7 min=10 conc=0.48
BOTH,KEEN  # score=7 tier=medium moves=5 avg=14.8 min=7 conc=0.45
BOTH,WARM  # score=7 tier=medium moves=5 avg=19 min=10 conc=0.46
BOUT,DENY  # score=7 tier=medium moves=5 avg=15.7 min=7 conc=0.48
BOUT,CAME  # score=7 tier=medium moves=5 avg=18.8 min=12 conc=0.4
BOWS,CHIN  # score=7 tier=medium moves=5 avg=18 min=8 conc=0.48
BRAD,KING  # score=7 tier=medium moves=5 avg=13.7 min=12 conc=0.51
BRAD,STEM  # score=7 tier=medium moves=5 avg=11.2 min=7 conc=0.51
BRAD,YARD  # score=7 tier=medium moves=5 avg=13.5 min=12 conc=0.53
BRAD,LONE  # score=7 tier=medium moves=5 avg=16 min=12 conc=0.48
BRAD,CAIN  # score=7 tier=medium moves=5 avg=11.7 min=8 conc=0.61
BRAD,BUSH  # score=7 tier=medium moves=5 avg=14.8 min=12 conc=0.51
BRAD,CANE  # score=7 tier=medium moves=5 avg=18.5 min=12 conc=0.45
BRAD,HULL  # score=7 tier=medium moves=5 avg=14.3 min=12 conc=0.49
BRAD,PANE  # score=7 tier=medium moves=5 avg=18.2 min=12 conc=0.46
BRAD,SCAN  # score=7 tier=medium moves=5 avg=11.2 min=8 conc=0.54
BRAD,KEEP  # score=7 tier=medium moves=5 avg=14 min=12 conc=0.53
BRAS,HERB  # score=7 tier=medium moves=5 avg=11.8 min=9 conc=0.56
BREW,COOK  # score=7 tier=medium moves=5 avg=11 min=7 conc=0.44
BREW,FEEL  # score=7 tier=medium moves=5 avg=11.8 min=9 conc=0.47
BRIT,FOOL  # score=7 tier=medium moves=5 avg=12.8 min=7 conc=0.56
BRIT,CALM  # score=7 tier=medium moves=5 avg=14.5 min=7 conc=0.52
BROS,HANK  # score=7 tier=medium moves=5 avg=17.3 min=8 conc=0.46
BROS,MATE  # score=7 tier=medium moves=5 avg=21.5 min=8 conc=0.48
BROS,LEAP  # score=7 tier=medium moves=5 avg=12 min=8 conc=0.5
BROS,SEAM  # score=7 tier=medium moves=5 avg=11.5 min=8 conc=0.45
BROS,CANE  # score=7 tier=medium moves=5 avg=19.2 min=8 conc=0.47
BROS,SANE  # score=7 tier=medium moves=5 avg=20.5 min=8 conc=0.48
BROS,MATT  # score=7 tier=medium moves=5 avg=19 min=8 conc=0.47
BROS,MATH  # score=7 tier=medium moves=5 avg=19.5 min=8 conc=0.49
BROS,SAND  # score=7 tier=medium moves=5 avg=17.8 min=8 conc=0.48
BROS,PANE  # score=7 tier=medium moves=5 avg=20.5 min=8 conc=0.48
BUDS,PROF  # score=7 tier=medium moves=5 avg=11.8 min=8 conc=0.58
BUDS,PROD  # score=7 tier=medium moves=5 avg=12.2 min=8 conc=0.55
BUGS,TAKE  # score=7 tier=medium moves=5 avg=21.3 min=17 conc=0.49
BULK,PIMP  # score=7 tier=medium moves=5 avg=12.2 min=8 conc=0.55
BULK,PEEL  # score=7 tier=medium moves=5 avg=13.2 min=8 conc=0.48
BULL,LANG  # score=7 tier=medium moves=5 avg=16.2 min=11 conc=0.46
BULL,TYPE  # score=7 tier=medium moves=5 avg=18.3 min=10 conc=0.45
BULL,POUR  # score=7 tier=medium moves=5 avg=13.2 min=9 conc=0.53
BULL,NEXT  # score=7 tier=medium moves=5 avg=14.3 min=7 conc=0.51
BUMP,DOLL  # score=7 tier=medium moves=5 avg=13 min=8 conc=0.61
BURN,HALO  # score=7 tier=medium moves=5 avg=18.7 min=7 conc=0.49
BURN,RIPE  # score=7 tier=medium moves=5 avg=18 min=14 conc=0.49
BUSH,SEAL  # score=7 tier=medium moves=5 avg=17.5 min=13 conc=0.49
BUSH,SOFT  # score=7 tier=medium moves=5 avg=11 min=7 conc=0.52
BUSH,LEAN  # score=7 tier=medium moves=5 avg=15.7 min=13 conc=0.49
BUST,STAR  # score=7 tier=medium moves=5 avg=16.2 min=10 conc=0.47
BUST,MANY  # score=7 tier=medium moves=5 avg=17.5 min=8 conc=0.47
BUST,FALL  # score=7 tier=medium moves=5 avg=16.3 min=12 conc=0.49
BUST,FIFE  # score=7 tier=medium moves=5 avg=11.7 min=8 conc=0.52
BUYS,HERE  # score=7 tier=medium moves=5 avg=22.8 min=12 conc=0.46
BUYS,LONE  # score=7 tier=medium moves=5 avg=23.3 min=12 conc=0.48
BUYS,DIRK  # score=7 tier=medium moves=5 avg=19.5 min=10 conc=0.47
BUYS,FORE  # score=7 tier=medium moves=5 avg=23.7 min=12 conc=0.49
BYTE,LOCK  # score=7 tier=medium moves=5 avg=18.3 min=7 conc=0.48
BYTE,LEFT  # score=7 tier=medium moves=5 avg=13 min=7 conc=0.45
BYTE,NECK  # score=7 tier=medium moves=5 avg=13.3 min=7 conc=0.6
BYTE,MAIL  # score=7 tier=medium moves=5 avg=20.7 min=7 conc=0.47
BYTE,SEES  # score=7 tier=medium moves=5 avg=23.5 min=7 conc=0.46
BYTE,BEEN  # score=7 tier=medium moves=5 avg=20.7 min=7 conc=0.47
CAFE,COAL  # score=7 tier=medium moves=5 avg=14.5 min=7 conc=0.51
CAFE,CROP  # score=7 tier=medium moves=5 avg=14.3 min=8 conc=0.47
CAFE,LOOP  # score=7 tier=medium moves=5 avg=14.7 min=8 conc=0.51
CAFE,LOAD  # score=7 tier=medium moves=5 avg=20.2 min=10 conc=0.47
CAGE,AIMS  # score=7 tier=medium moves=5 avg=18.3 min=12 conc=0.49
CAGE,POOL  # score=7 tier=medium moves=5 avg=17.7 min=11 conc=0.47
CAGE,LOAD  # score=7 tier=medium moves=5 avg=21 min=10 conc=0.43
CAGE,CHOP  # score=7 tier=medium moves=5 avg=15.3 min=8 conc=0.42
CAGE,SILK  # score=7 tier=medium moves=5 avg=17.2 min=9 conc=0.47
CAGE,HELD  # score=7 tier=medium moves=5 avg=19.5 min=12 conc=0.45
CAGE,BELT  # score=7 tier=medium moves=5 avg=16.5 min=12 conc=0.46
CAGE,HEAD  # score=7 tier=medium moves=5 avg=19.3 min=12 conc=0.45
CAIN,AMID  # score=7 tier=medium moves=5 avg=10.5 min=7 conc=0.61
CAIN,BOTS  # score=7 tier=medium moves=5 avg=18.8 min=8 conc=0.49
CAIN,DONG  # score=7 tier=medium moves=5 avg=16.3 min=8 conc=0.49
CAKE,FOND  # score=7 tier=medium moves=5 avg=18.3 min=11 conc=0.42
CAKE,LOOP  # score=7 tier=medium moves=5 avg=15.5 min=8 conc=0.45
CAKE,CHAT  # score=7 tier=medium moves=5 avg=17.8 min=11 conc=0.42
CAKE,GOOD  # score=7 tier=medium moves=5 avg=17.8 min=14 conc=0.47
CAKE,TEAL  # score=7 tier=medium moves=5 avg=19 min=9 conc=0.49
CAKE,HUNK  # score=7 tier=medium moves=5 avg=19.7 min=16 conc=0.45
CAKE,PUNK  # score=7 tier=medium moves=5 avg=19.7 min=15 conc=0.46
CAKE,PECK  # score=7 tier=medium moves=5 avg=19.2 min=17 conc=0.46
CALF,DIRT  # score=7 tier=medium moves=5 avg=12.5 min=7 conc=0.51
CALF,BRIT  # score=7 tier=medium moves=5 avg=14 min=7 conc=0.55
CALF,LUST  # score=7 tier=medium moves=5 avg=13.7 min=7 conc=0.58
CALF,PEEL  # score=7 tier=medium moves=5 avg=13.7 min=7 conc=0.58
CALF,MUTE  # score=7 tier=medium moves=5 avg=14.7 min=7 conc=0.5
CALF,HUSH  # score=7 tier=medium moves=5 avg=12.7 min=7 conc=0.63
CALL,BEAN  # score=7 tier=medium moves=5 avg=17.5 min=13 conc=0.48
CALL,LIME  # score=7 tier=medium moves=5 avg=19.8 min=16 conc=0.49
CALL,COMB  # score=7 tier=medium moves=5 avg=21 min=7 conc=0.43
CALL,FIND  # score=7 tier=medium moves=5 avg=16.2 min=11 conc=0.43
CALM,PINK  # score=7 tier=medium moves=5 avg=17.8 min=9 conc=0.49
CALM,POND  # score=7 tier=medium moves=5 avg=11.2 min=9 conc=0.46
CALM,BOUT  # score=7 tier=medium moves=5 avg=12.5 min=10 conc=0.46
CAME,MILD  # score=7 tier=medium moves=5 avg=17.5 min=12 conc=0.46
CAME,CHIP  # score=7 tier=medium moves=5 avg=14.3 min=8 conc=0.42
CAME,LEFT  # score=7 tier=medium moves=5 avg=15.8 min=9 conc=0.44
CAME,FOOT  # score=7 tier=medium moves=5 avg=19.7 min=12 conc=0.49
CAME,SOFT  # score=7 tier=medium moves=5 avg=17.7 min=7 conc=0.45
CAME,GOAT  # score=7 tier=medium moves=5 avg=17.7 min=11 conc=0.39
CAME,WOOL  # score=7 tier=medium moves=5 avg=14.7 min=8 conc=0.45
CAME,SHOP  # score=7 tier=medium moves=5 avg=14.7 min=8 conc=0.4
CAME,MELT  # score=7 tier=medium moves=5 avg=19.2 min=12 conc=0.45
CAMP,CHAD  # score=7 tier=medium moves=5 avg=10.5 min=8 conc=0.52
CAMP,PROD  # score=7 tier=medium moves=5 avg=10.5 min=8 conc=0.52
CAMP,CHAT  # score=7 tier=medium moves=5 avg=11.3 min=8 conc=0.48
CAMP,FIFE  # score=7 tier=medium moves=5 avg=12.5 min=8 conc=0.54
CAMP,PULL  # score=7 tier=medium moves=5 avg=12 min=8 conc=0.65
CANE,LEAN  # score=7 tier=medium moves=5 avg=18.2 min=12 conc=0.46
CANE,HECK  # score=7 tier=medium moves=5 avg=19.2 min=12 conc=0.49
CANS,SPAS  # score=7 tier=medium moves=5 avg=20.2 min=9 conc=0.46
CANS,SEAL  # score=7 tier=medium moves=5 avg=21.7 min=18 conc=0.45
CAPE,CHOP  # score=7 tier=medium moves=5 avg=15.2 min=8 conc=0.41
CAPE,MILL  # score=7 tier=medium moves=5 avg=21.7 min=14 conc=0.48
CAPE,TIED  # score=7 tier=medium moves=5 avg=18.3 min=10 conc=0.49
CAPS,LOAD  # score=7 tier=medium moves=5 avg=19.3 min=10 conc=0.47
CARB,POND  # score=7 tier=medium moves=5 avg=14 min=9 conc=0.48
CARB,DEAD  # score=7 tier=medium moves=5 avg=14.7 min=12 conc=0.51
CARB,MEAD  # score=7 tier=medium moves=5 avg=14.5 min=11 conc=0.51
CARB,RING  # score=7 tier=medium moves=5 avg=14 min=9 conc=0.53
CARB,PING  # score=7 tier=medium moves=5 avg=22.7 min=13 conc=0.47
CARD,BRIT  # score=7 tier=medium moves=5 avg=15.8 min=7 conc=0.43
CARD,BEAN  # score=7 tier=medium moves=5 avg=17.7 min=13 conc=0.43
CARD,LEAP  # score=7 tier=medium moves=5 avg=14.8 min=10 conc=0.51
CARD,LEAN  # score=7 tier=medium moves=5 avg=15.7 min=12 conc=0.47
CARD,SETS  # score=7 tier=medium moves=5 avg=25.3 min=21 conc=0.45
CARD,BETA  # score=7 tier=medium moves=5 avg=22.8 min=9 conc=0.46
CARD,FEAT  # score=7 tier=medium moves=5 avg=15.2 min=12 conc=0.49
CARD,HEMP  # score=7 tier=medium moves=5 avg=13.2 min=7 conc=0.44
CARD,DEAL  # score=7 tier=medium moves=5 avg=15.8 min=12 conc=0.48
CARE,FUNK  # score=7 tier=medium moves=5 avg=22 min=11 conc=0.45
CARE,RINK  # score=7 tier=medium moves=5 avg=22.2 min=13 conc=0.45
CARE,MOOD  # score=7 tier=medium moves=5 avg=19.7 min=12 conc=0.45
CARL,WISH  # score=7 tier=medium moves=5 avg=20.7 min=10 conc=0.41
CARP,CROW  # score=7 tier=medium moves=5 avg=10.8 min=8 conc=0.51
CARP,CHAP  # score=7 tier=medium moves=5 avg=11 min=8 conc=0.52
CARP,COAL  # score=7 tier=medium moves=5 avg=11.2 min=7 conc=0.5
CARP,BRIT  # score=7 tier=medium moves=5 avg=13.3 min=7 conc=0.5
CARP,PING  # score=7 tier=medium moves=5 avg=22.7 min=13 conc=0.47
CARP,MOOD  # score=7 tier=medium moves=5 avg=13.5 min=12 conc=0.54
CARP,SHOP  # score=7 tier=medium moves=5 avg=11.3 min=8 conc=0.49
CARP,DEAD  # score=7 tier=medium moves=5 avg=12.8 min=10 conc=0.53
CARP,WOOL  # score=7 tier=medium moves=5 avg=12.8 min=8 conc=0.56
CARR,HELP  # score=7 tier=medium moves=5 avg=14 min=9 conc=0.53
CARR,HEAP  # score=7 tier=medium moves=5 avg=13.8 min=9 conc=0.53
CARR,WISH  # score=7 tier=medium moves=5 avg=19.7 min=10 conc=0.46
CARR,HELM  # score=7 tier=medium moves=5 avg=13.7 min=7 conc=0.55
CARR,BETH  # score=7 tier=medium moves=5 avg=19.2 min=7 conc=0.48
CARS,HEAR  # score=7 tier=medium moves=5 avg=18.5 min=12 conc=0.49
CARS,META  # score=7 tier=medium moves=5 avg=21.8 min=8 conc=0.48
CART,READ  # score=7 tier=medium moves=5 avg=16 min=12 conc=0.45
CART,HOWE  # score=7 tier=medium moves=5 avg=18.5 min=13 conc=0.43
CART,PIES  # score=7 tier=medium moves=5 avg=14.8 min=8 conc=0.4
CART,RUGS  # score=7 tier=medium moves=5 avg=23 min=18 conc=0.47
CASE,PUNK  # score=7 tier=medium moves=5 avg=19.2 min=15 conc=0.45
CASE,HOOP  # score=7 tier=medium moves=5 avg=15.7 min=8 conc=0.44
CASE,CHOP  # score=7 tier=medium moves=5 avg=15.8 min=8 conc=0.41
CASE,CROP  # score=7 tier=medium moves=5 avg=15.7 min=8 conc=0.42
CASE,WOOD  # score=7 tier=medium moves=5 avg=21.3 min=12 conc=0.43
CAST,SIMS  # score=7 tier=medium moves=5 avg=19.2 min=9 conc=0.46
CATS,KEEN  # score=7 tier=medium moves=5 avg=21.7 min=11 conc=0.49
CATS,PIKE  # score=7 tier=medium moves=5 avg=22.7 min=16 conc=0.49
CELL,TYPE  # score=7 tier=medium moves=5 avg=17.3 min=10 conc=0.49
CELL,FLEW  # score=7 tier=medium moves=5 avg=13.8 min=10 conc=0.57
CELL,TOWN  # score=7 tier=medium moves=5 avg=13.8 min=9 conc=0.54
CELL,SAND  # score=7 tier=medium moves=5 avg=15.7 min=11 conc=0.48
CELL,RAND  # score=7 tier=medium moves=5 avg=15.8 min=11 conc=0.48
CENT,MATH  # score=7 tier=medium moves=5 avg=14.3 min=8 conc=0.53
CENT,COMP  # score=7 tier=medium moves=5 avg=12.5 min=8 conc=0.58
CHAD,TOOK  # score=7 tier=medium moves=5 avg=12.3 min=9 conc=0.55
CHAD,HIST  # score=7 tier=medium moves=5 avg=13.3 min=10 conc=0.5
CHAD,COMA  # score=7 tier=medium moves=5 avg=10.3 min=8 conc=0.48
CHAD,HOSE  # score=7 tier=medium moves=5 avg=13.2 min=10 conc=0.5
CHAD,POLE  # score=7 tier=medium moves=5 avg=16.7 min=10 conc=0.46
CHAD,ROLE  # score=7 tier=medium moves=5 avg=16.3 min=10 conc=0.46
CHAD,LIST  # score=7 tier=medium moves=5 avg=14 min=10 conc=0.47
CHAD,PREY  # score=7 tier=medium moves=5 avg=9.2 min=7 conc=0.56
CHAP,CANT  # score=7 tier=medium moves=5 avg=13.8 min=9 conc=0.48
CHAP,HAST  # score=7 tier=medium moves=5 avg=14.8 min=11 conc=0.49
CHAP,FOLD  # score=7 tier=medium moves=5 avg=13.5 min=11 conc=0.5
CHAP,CAME  # score=7 tier=medium moves=5 avg=12.8 min=8 conc=0.47
CHAP,HORN  # score=7 tier=medium moves=5 avg=12 min=9 conc=0.52
CHAP,DOME  # score=7 tier=medium moves=5 avg=13.7 min=8 conc=0.44
CHAP,BOIL  # score=7 tier=medium moves=5 avg=11.5 min=10 conc=0.53
CHAP,HALT  # score=7 tier=medium moves=5 avg=14.3 min=11 conc=0.44
CHAP,HOSE  # score=7 tier=medium moves=5 avg=13.3 min=11 conc=0.49
CHAP,DAMP  # score=7 tier=medium moves=5 avg=10.5 min=8 conc=0.52
CHAP,CASE  # score=7 tier=medium moves=5 avg=15.7 min=11 conc=0.49
CHAP,WORK  # score=7 tier=medium moves=5 avg=12.5 min=9 conc=0.47
CHAP,SOLE  # score=7 tier=medium moves=5 avg=16.2 min=11 conc=0.46
CHAR,BOLD  # score=7 tier=medium moves=5 avg=13.3 min=8 conc=0.49
CHAR,WOOL  # score=7 tier=medium moves=5 avg=10.7 min=8 conc=0.55
CHAR,BOIL  # score=7 tier=medium moves=5 avg=10.8 min=7 conc=0.56
CHAR,HOSE  # score=7 tier=medium moves=5 avg=12.8 min=8 conc=0.53
CHAR,CANT  # score=7 tier=medium moves=5 avg=13.3 min=8 conc=0.52
CHAR,HALT  # score=7 tier=medium moves=5 avg=13.8 min=8 conc=0.48
CHAT,CARS  # score=7 tier=medium moves=5 avg=18.7 min=11 conc=0.44
CHAT,CARB  # score=7 tier=medium moves=5 avg=16 min=11 conc=0.49
CHAT,CARE  # score=7 tier=medium moves=5 avg=21.5 min=11 conc=0.39
CHAT,SALE  # score=7 tier=medium moves=5 avg=18.5 min=11 conc=0.43
CHAT,LUSH  # score=7 tier=medium moves=5 avg=13.5 min=9 conc=0.5
CHAT,CAME  # score=7 tier=medium moves=5 avg=18.3 min=11 conc=0.41
CHAT,HOPE  # score=7 tier=medium moves=5 avg=17 min=11 conc=0.41
CHAT,EASE  # score=7 tier=medium moves=5 avg=14.5 min=10 conc=0.53
CHAT,CARP  # score=7 tier=medium moves=5 avg=16 min=11 conc=0.49
CHIN,COMB  # score=7 tier=medium moves=5 avg=13.8 min=7 conc=0.44
CHIN,TOLD  # score=7 tier=medium moves=5 avg=14 min=11 conc=0.45
CHIN,TOES  # score=7 tier=medium moves=5 avg=15.3 min=8 conc=0.44
CHIN,BEER  # score=7 tier=medium moves=5 avg=11.2 min=8 conc=0.45
